date,port,coal,state
30/11/2019,Abbot Point,2567202,QLD
30/11/2019,Dalrymple Bay Coal Terminal,4678586,QLD
30/11/2019,Gladstone,5895720,QLD
30/11/2019,Hay Point Coal Terminal,4124282,QLD
30/11/2019,Port of Newcastle,12560964,NSW
31/12/2019,Abbot Point,3199260,QLD
31/12/2019,Dalrymple Bay Coal Terminal,6714841,QLD
31/12/2019,Gladstone,6886896,QLD
31/12/2019,Hay Point Coal Terminal,3974688,QLD
31/12/2019,Port of Newcastle,15441555,NSW
31/01/2020,Abbot Point,2304781,QLD
31/01/2020,Dalrymple Bay Coal Terminal,4827336,QLD
31/01/2020,Gladstone,6850792,QLD
31/01/2020,Hay Point Coal Terminal,4451638,QLD
31/01/2020,Port of Newcastle,13877491,NSW
29/02/2020,Abbot Point,2893367,QLD
29/02/2020,Dalrymple Bay Coal Terminal,4739983,QLD
29/02/2020,Gladstone,5621387,QLD
29/02/2020,Hay Point Coal Terminal,3396240,QLD
29/02/2020,Port of Newcastle,11582361,NSW
31/03/2020,Abbot Point,2423284,QLD
31/03/2020,Dalrymple Bay Coal Terminal,4999209,QLD
31/03/2020,Gladstone,5792910,QLD
31/03/2020,Hay Point Coal Terminal,3294291,QLD
31/03/2020,Port of Newcastle,14515433,NSW
30/04/2020,Abbot Point,2912395,QLD
30/04/2020,Dalrymple Bay Coal Terminal,4271230,QLD
30/04/2020,Gladstone,5416982,QLD
30/04/2020,Hay Point Coal Terminal,3772838,QLD
30/04/2020,Port of Newcastle,12884530,NSW
31/05/2020,Abbot Point,2561251,QLD
31/05/2020,Dalrymple Bay Coal Terminal,4393615,QLD
31/05/2020,Gladstone,5566821,QLD
31/05/2020,Hay Point Coal Terminal,4727350,QLD
31/05/2020,Port of Newcastle,11461612,NSW
30/06/2020,Abbot Point,2159275,QLD
30/06/2020,Dalrymple Bay Coal Terminal,4845885,QLD
30/06/2020,Gladstone,6191676,QLD
30/06/2020,Hay Point Coal Terminal,5237040,QLD
30/06/2020,Port of Newcastle,14319119,NSW
31/07/2020,Abbot Point,2174798,QLD
31/07/2020,Dalrymple Bay Coal Terminal,4201016,QLD
31/07/2020,Gladstone,5948900,QLD
31/07/2020,Hay Point Coal Terminal,3299218,QLD
31/07/2020,Port of Newcastle,11325457,NSW
31/08/2020,Abbot Point,2928595,QLD
31/08/2020,Dalrymple Bay Coal Terminal,4473402,QLD
31/08/2020,Gladstone,5731596,QLD
31/08/2020,Hay Point Coal Terminal,3526871,QLD
31/08/2020,Port of Newcastle,15145054,NSW
30/09/2020,Abbot Point,2521564,QLD
30/09/2020,Dalrymple Bay Coal Terminal,4171413,QLD
30/09/2020,Gladstone,5272295,QLD
30/09/2020,Hay Point Coal Terminal,3986585,QLD
30/09/2020,Port of Newcastle,13082786,NSW
31/10/2020,Abbot Point,2188755,QLD
31/10/2020,Dalrymple Bay Coal Terminal,3814722,QLD
31/10/2020,Gladstone,5822084,QLD
31/10/2020,Hay Point Coal Terminal,3701638,QLD
31/10/2020,Port of Newcastle,14236762,NSW
30/11/2020,Abbot Point,2151958,QLD
30/11/2020,Dalrymple Bay Coal Terminal,4652312,QLD
30/11/2020,Gladstone,6239913,QLD
30/11/2020,Hay Point Coal Terminal,2644904,QLD
30/11/2020,Port of Newcastle,11073590,NSW
31/12/2020,Abbot Point,2630582,QLD
31/12/2020,Dalrymple Bay Coal Terminal,5187817,QLD
31/12/2020,Gladstone,6066126,QLD
31/12/2020,Hay Point Coal Terminal,4425732,QLD
31/12/2020,Port of Newcastle,14924953,NSW
31/01/2021,Abbot Point,2488155,QLD
31/01/2021,Dalrymple Bay Coal Terminal,4136282,QLD
31/01/2021,Gladstone,5865424,QLD
31/01/2021,Hay Point Coal Terminal,3781805,QLD
31/01/2021,Port of Newcastle,13909907,NSW
28/02/2021,Abbot Point,2139375,QLD
28/02/2021,Dalrymple Bay Coal Terminal,4262591,QLD
28/02/2021,Gladstone,5367787,QLD
28/02/2021,Hay Point Coal Terminal,3705152,QLD
28/02/2021,Port of Newcastle,13012859,NSW
31/03/2021,Abbot Point,2336244,QLD
31/03/2021,Dalrymple Bay Coal Terminal,3465630,QLD
31/03/2021,Gladstone,5816590,QLD
31/03/2021,Hay Point Coal Terminal,4094149,QLD
31/03/2021,Port of Newcastle,9976033,NSW
30/04/2021,Abbot Point,2853037,QLD
30/04/2021,Dalrymple Bay Coal Terminal,4342904,QLD
30/04/2021,Gladstone,5283877,QLD
30/04/2021,Hay Point Coal Terminal,4315199,QLD
30/04/2021,Port of Newcastle,12778583,NSW
31/05/2021,Abbot Point,2663809,QLD
31/05/2021,Hay Point Coal Terminal,4367603,QLD
31/05/2021,Dalrymple Bay Coal Terminal,4911853,QLD
31/05/2021,Gladstone,5436335,QLD
31/05/2021,Port of Newcastle,11605635,NSW
30/06/2021,Gladstone,6681498,QLD
30/06/2021,Abbot Point,2479462,QLD
30/06/2021,Hay Point Coal Terminal,4580394,QLD
30/06/2021,Dalrymple Bay Coal Terminal,4273875,QLD
30/06/2021,Port of Newcastle,13211686,NSW
31/07/2021,Gladstone,6409706,QLD
31/07/2021,Port of Newcastle,14482841,NSW
31/07/2021,Abbot Point,2382866,QLD
31/07/2021,Hay Point Coal Terminal,3079688,QLD
31/07/2021,Dalrymple Bay Coal Terminal,4993219,QLD
31/08/2021,Gladstone,6087128,QLD
31/08/2021,Abbot Point,2288583,QLD
31/08/2021,Hay Point Coal Terminal,3802841,QLD
31/08/2021,Dalrymple Bay Coal Terminal,5022319,QLD
31/08/2021,Port of Newcastle,14391274,NSW
30/09/2021,Gladstone,5252768,QLD
30/09/2021,Port of Newcastle,13902868,NSW
30/09/2021,Abbot Point,1872000,QLD
30/09/2021,Hay Point Coal Terminal,3493312,QLD
30/09/2021,Dalrymple Bay Coal Terminal,4978644,QLD
31/10/2021,Port of Newcastle,14250011,NSW
31/10/2021,Gladstone,5288802,QLD
31/10/2021,Abbot Point,3340302,QLD
31/10/2021,Hay Point Coal Terminal,3212805,QLD
31/10/2021,Dalrymple Bay Coal Terminal,4819208,QLD
30/11/2021,Gladstone,5578498,QLD
30/11/2021,Port of Newcastle,12159840,NSW
30/11/2021,Abbot Point,2176727,QLD
30/11/2021,Hay Point Coal Terminal,2962600,QLD
30/11/2021,Dalrymple Bay Coal Terminal,5088136,QLD
31/12/2021,Gladstone,5133408,QLD
31/12/2021,Abbot Point,2264063,QLD
31/12/2021,Hay Point Coal Terminal,3413114,QLD
31/12/2021,Dalrymple Bay Coal Terminal,3917692,QLD
31/12/2021,Port of Newcastle,12646002,NSW
31/01/2022,Abbot Point,2480922,QLD
31/01/2022,Hay Point Coal Terminal,4282069,QLD
31/01/2022,Dalrymple Bay Coal Terminal,3674762,QLD
31/01/2022,Gladstone,5427505,QLD
31/01/2022,Port of Newcastle,13975952,NSW
28/02/2022,Gladstone,4838642,QLD
28/02/2022,Port of Newcastle,10521651,NSW
28/02/2022,Abbot Point,2218331,QLD
28/02/2022,Hay Point Coal Terminal,3052401,QLD
28/02/2022,Dalrymple Bay Coal Terminal,4011098,QLD
31/03/2022,Gladstone,5448569,QLD
31/03/2022,Port of Newcastle,10606620,NSW
31/03/2022,Abbot Point,2212153,QLD
31/03/2022,Hay Point Coal Terminal,4119312,QLD
31/03/2022,Dalrymple Bay Coal Terminal,4168630,QLD
30/04/2022,Gladstone,4702167,QLD
30/04/2022,Port of Newcastle,11766638,NSW
30/04/2022,Abbot Point,2054306,QLD
30/04/2022,Hay Point Coal Terminal,4107107,QLD
30/04/2022,Dalrymple Bay Coal Terminal,3256875,QLD
31/05/2022,Port of Newcastle,12433623,NSW
31/05/2022,Gladstone,5257335,QLD
31/05/2022,Abbot Point,2940924,QLD
31/05/2022,Hay Point Coal Terminal,4303357,QLD
31/05/2022,Dalrymple Bay Coal Terminal,4413655,QLD
30/06/2022,Gladstone,6166019,QLD
30/06/2022,Port of Newcastle,13063816,NSW
30/06/2022,Abbot Point,2138802,QLD
30/06/2022,Hay Point Coal Terminal,4055773,QLD
30/06/2022,Dalrymple Bay Coal Terminal,5002585,QLD
31/07/2022,Gladstone,5150275,QLD
31/07/2022,Abbot Point,2730574,QLD
31/07/2022,Hay Point Coal Terminal,4167464,QLD
31/07/2022,Dalrymple Bay Coal Terminal,3213972,QLD
31/07/2022,Port of Newcastle,7729522,NSW
31/08/2022,Gladstone,4909151,QLD
31/08/2022,Port of Newcastle,13076480,NSW
31/08/2022,Abbot Point,2730611,QLD
31/08/2022,Hay Point Coal Terminal,3320708,QLD
31/08/2022,Dalrymple Bay Coal Terminal,5214354,QLD
30/09/2022,Gladstone,4334353,QLD
30/09/2022,Abbot Point,2402830,QLD
30/09/2022,Hay Point Coal Terminal,3907007,QLD
30/09/2022,Dalrymple Bay Coal Terminal,5438678,QLD
30/09/2022,Port of Newcastle,10060991,NSW
31/10/2022,Gladstone,5253994,QLD
31/10/2022,Abbot Point,3086852,QLD
31/10/2022,Hay Point Coal Terminal,3564655,QLD
31/10/2022,Dalrymple Bay Coal Terminal,3706512,QLD
31/10/2022,Port of Newcastle,10082021,NSW
